TimeStamp/Wavelength,1750,1752,1754,1756,1758,1760,1762,1764,1766,1768,1770,1772,1774,1776,1778,1780,1782,1784,1786,1788,1790,1792,1794,1796,1798,1800,1802,1804,1806,1808,1810,1812,1814,1816,1818,1820,1822,1824,1826,1828,1830,1832,1834,1836,1838,1840,1842,1844,1846,1848,1850,1852,1854,1856,1858,1860,1862,1864,1866,1868,1870,1872,1874,1876,1878,1880,1882,1884,1886,1888,1890,1892,1894,1896,1898,1900,1902,1904,1906,1908,1910,1912,1914,1916,1918,1920,1922,1924,1926,1928,1930,1932,1934,1936,1938,1940,1942,1944,1946,1948,1950,1952,1954,1956,1958,1960,1962,1964,1966,1968,1970,1972,1974,1976,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050,2052,2054,2056,2058,2060,2062,2064,2066,2068,2070,2072,2074,2076,2078,2080,2082,2084,2086,2088,2090,2092,2094,2096,2098,2100,2102,2104,2106,2108,2110,2112,2114,2116,2118,2120,2122,2124,2126,2128,2130,2132,2134,2136,2138,2140,2142,2144,2146,2148,2150
03.06.2026 14:30:30,1875.31,1876.17,1877.57,1878.39,1878.14,1874.17,1874.31,1875.32,1874.35,1875.68,1874.43,1875.21,1873.43,1870.39,1873.4,1874.36,1872.76,1872.98,1871.52,1874.32,1869.86,1872.27,1871.33,1868.48,1869.18,1869.05,1868.67,1866.52,1865.65,1866.13,1868.29,1865.82,1866.11,1862.53,1862.56,1863.48,1862.13,1860.07,1859.04,1856.11,1854.26,1853.88,1852.82,1850.77,1851.56,1849.95,1845.59,1846.35,1843.73,1840.83,1838.34,1834.83,1834.15,1831.61,1827.55,1828.31,1824.12,1818.45,1818.12,1814.67,1812.09,1807.23,1805.33,1802.6,1802.14,1799.49,1795.86,1794.03,1791.41,1786.72,1787,1785.61,1783.78,1781.91,1781.47,1779.8,1777.86,1775.74,1776.04,1773.62,1778.24,1772.88,1774.75,1773.9,1772.48,1769.59,1768.24,1772.04,1768.78,1770.2,1769.32,1769.58,1767.94,1768.7,1767.78,1767.01,1768.07,1765.84,1768.67,1768.66,1766.6,1765.09,1764.47,1767.16,1765.3,1767.64,1766.27,1768.62,1768.72,1766.49,1766.42,1766.76,1768.13,1765.8,1766.67,1768.25,1766.11,1771.36,1766.66,1769.75,1769.6,1769.74,1772.38,1769.46,1771.5,1773.05,1771.64,1773.61,1773.06,1772.73,1775.52,1775.56,1774.9,1773.96,1776.14,1773.13,1777.46,1778.23,1777.43,1778.18,1783.22,1780.28,1778.16,1781.79,1781.45,1781.68,1780.33,1785.62,1784.07,1784.61,1783.21,1784.9,1787.45,1788.82,1787.09,1789.5,1791.62,1788.69,1791.32,1793.39,1793.78,1793.6,1795.42,1796.96,1796.36,1798.39,1799.09,1798.81,1802.38,1803.08,1800.16,1802.08,1800.81,1804.37,1806,1806.02,1807.09,1805.51,1808.98,1810.54,1809.8,1810.38,1815.17,1813.37,1811.15,1815.24,1815.82,1817.13,1814.58,1816.73,1817.73,1817.15,1822.13,1820.7,1822.68,1821.48,1823.76,1821.54,1822.01,1823.92,1822.76
03.06.2026 14:30:31,1876.69,1876.83,1873.82,1875.52,1876.67,1877.91,1877.01,1876.15,1874.62,1876.83,1874.05,1874.78,1873.01,1875.58,1874.53,1872.38,1870.2,1874.19,1871.21,1870.72,1871.24,1871.02,1868.16,1868.52,1868.48,1868.78,1869.03,1868.17,1868.84,1867.93,1864.92,1864.81,1863.44,1862.05,1860.26,1863.03,1861.14,1861.9,1857.39,1858.39,1854.45,1857.16,1852.42,1852.16,1849.17,1847.8,1845.97,1846.24,1841.05,1842.55,1838.15,1835.47,1834.63,1829.89,1827.06,1825.02,1822.95,1818.39,1817.45,1813.93,1809.27,1808.13,1806.87,1805.44,1801.2,1796.37,1792.55,1793.46,1790.43,1790.22,1786.52,1785.99,1781.2,1781,1783.25,1779.42,1777.37,1775.88,1776.77,1775.45,1775.63,1770.32,1773.47,1771.54,1771.49,1769.76,1771.08,1769.23,1769.92,1768.93,1770.07,1765.64,1769.78,1766.95,1766.93,1765.47,1766.02,1769.21,1766.6,1764.38,1769.15,1770.24,1765.68,1765.1,1767.11,1769.88,1769.39,1765.07,1765.87,1767.29,1768.86,1768.1,1769.16,1766.35,1767.8,1770.03,1768.96,1769.22,1770.9,1769.9,1767.91,1769.89,1768.4,1771.01,1772.17,1773.16,1772.3,1775.21,1772.35,1773.6,1774.93,1773.1,1772.08,1775.85,1776.16,1776.84,1777.28,1778.23,1778.5,1779.11,1779.54,1776.05,1778.69,1782.37,1780.06,1782.62,1781.32,1782.88,1783.47,1785.19,1783.25,1786.03,1786.01,1786.02,1787.43,1789.46,1788.52,1791.57,1790,1791.3,1792.61,1791.95,1795.54,1793.32,1795.94,1799.45,1797.03,1799.57,1801.71,1800.67,1801.18,1803.82,1803.97,1804.62,1807.14,1805.39,1807.55,1808.66,1810.36,1808.34,1810.54,1809.3,1812.54,1815.61,1816.05,1811.35,1817.33,1815.74,1816.02,1819.66,1815.72,1817.88,1818.32,1821.65,1820.4,1820.63,1821.33,1821.77,1821.88,1821.38,1822.39
03.06.2026 14:30:33,1874.59,1873.35,1873.14,1877.67,1874.77,1874.76,1876.09,1873.28,1873.07,1873.96,1872.03,1874.01,1872.68,1875.48,1873.31,1872.44,1870.64,1871.83,1870.26,1870.76,1871.52,1870.9,1870.07,1871.08,1869.46,1870.4,1868.37,1865.93,1866.09,1866.48,1865.28,1864.43,1862.79,1864.56,1863.99,1860.49,1861.08,1861.24,1856.37,1857.72,1856.16,1854.04,1851.59,1853.52,1851.09,1849.14,1844.96,1840.44,1842.9,1841.6,1836.82,1833.89,1834.45,1830.05,1828.01,1824.82,1823.92,1819.27,1816.72,1813.9,1811.44,1810.25,1805.58,1803.78,1799.23,1797.37,1797.05,1793.19,1789.48,1788.36,1786.34,1786.96,1783.62,1782.9,1779.34,1779.73,1775.65,1774.98,1775.43,1773.83,1771.15,1774.01,1772.07,1771.55,1770.15,1771.7,1768.78,1770.83,1768.71,1768.96,1768.69,1767.19,1766.59,1765.69,1766.95,1763.61,1768.54,1768.16,1768.19,1764.98,1768.47,1766.12,1765.6,1768.06,1766.71,1764.45,1767.28,1765.22,1765.7,1766.53,1767.71,1769.5,1767.05,1763.83,1768.88,1767.35,1768.08,1771.04,1768.97,1769.24,1768.19,1767.51,1769.85,1772.02,1771.38,1771.92,1771.24,1773.13,1772.42,1773.62,1772.89,1773.67,1773.77,1774.62,1779.12,1777.16,1774.69,1777.88,1776.11,1775.25,1777.22,1778.66,1780.48,1779.63,1782.32,1779.41,1780.78,1782.69,1784.24,1784.93,1785.32,1784.24,1784.83,1786.84,1784.38,1788.15,1787.99,1787.66,1791.03,1789.63,1794.71,1793.67,1791.83,1794.65,1794.7,1796.53,1797.83,1800.16,1798,1799.11,1800.91,1801.51,1804.19,1804.42,1805.23,1806.51,1806.28,1805.38,1810.18,1809.2,1809.53,1811.56,1811.9,1811.94,1813.23,1814.75,1815.16,1814.78,1813.11,1819.24,1818.32,1818.1,1819.07,1820.18,1818.64,1824.28,1821.79,1820.69,1824.35,1823.69,1823.65
03.06.2026 14:30:34,1872.92,1874.98,1874.76,1876.48,1875.36,1873.89,1875.29,1875.05,1874.21,1875.01,1874.63,1871.09,1871.31,1870.99,1872.53,1871.26,1870,1870.48,1871.35,1869.94,1871.56,1869.92,1868.48,1865.45,1869.15,1867.24,1867.49,1863.52,1865.74,1864.09,1864.67,1862.37,1864.65,1863.34,1862,1858.66,1859.96,1857.29,1857.62,1857.49,1853.6,1852.5,1851.56,1851.38,1852.01,1848.21,1844.63,1845.7,1841.98,1842.9,1837.32,1834.43,1831.19,1828.91,1828.13,1824.58,1823.04,1819.58,1815.29,1815.98,1810.58,1811.1,1805.26,1805.18,1801.46,1796.21,1794.85,1793.24,1790.57,1786.8,1786.53,1784.3,1784.36,1781.76,1782.01,1779.5,1778.73,1777.02,1774.66,1773.86,1772.29,1775.13,1769.86,1771.93,1769.26,1772.55,1768.61,1769.21,1771.26,1769.94,1766.52,1767.13,1769.21,1766.92,1768.81,1765.21,1766.28,1766.77,1767.22,1766.68,1767.5,1766.28,1768.34,1766.89,1767.41,1766.97,1763.57,1764.83,1764.79,1764.37,1767.99,1766.09,1768.01,1769.52,1767.8,1770.36,1771.1,1771.6,1768.09,1770.17,1767.13,1770.22,1771.1,1774.92,1769.23,1774.32,1770.71,1769.87,1773.33,1771.43,1772.26,1775.16,1774.65,1774.2,1774.69,1775.46,1775.83,1778.26,1776.18,1777.36,1779.29,1779.46,1780.43,1778.26,1780.8,1781.84,1780.57,1782.59,1783.35,1783.62,1783.6,1785.06,1784.66,1785.45,1787.78,1787.26,1785.82,1791.02,1790.34,1789.86,1792.63,1793.59,1794.66,1794.94,1795.62,1797.34,1798.57,1799.6,1799.95,1800.37,1798.96,1803.9,1801.4,1803.32,1806.76,1805.08,1806.4,1808.16,1810.09,1808.08,1809.95,1810.51,1810.87,1814.05,1814.34,1814.28,1812.56,1814.05,1815.99,1816.46,1818.7,1820.03,1820.56,1818.07,1818.92,1821.2,1819.81,1821.2,1820.73,1821.48,1820.02
03.06.2026 14:30:35,1876.66,1874.39,1874.77,1876.13,1874.81,1872.68,1875.33,1873.07,1872.26,1875.31,1873.31,1872.51,1873.56,1873.77,1870.78,1870.53,1873.97,1869.66,1870.74,1869.47,1870.04,1868.91,1868.77,1869.82,1868.08,1865.56,1868.05,1865.49,1862.66,1865.96,1863.93,1864.12,1864.36,1862.37,1860.9,1859.33,1860.14,1856.98,1856.78,1854.53,1854.74,1852.59,1851.2,1849.98,1849.54,1846.55,1847.04,1842.82,1840.49,1839.01,1838.05,1834.76,1832.3,1831.54,1827.09,1822.44,1823.54,1820.09,1816.91,1814.33,1810.96,1809,1807.81,1802.58,1797.5,1796.05,1795.97,1792.91,1788.46,1785.79,1786.29,1784.3,1784.75,1779.78,1777.92,1778,1776.48,1778.43,1774.91,1774.37,1772.28,1773.88,1772.64,1769.78,1771.55,1769.04,1769.85,1768.46,1769.56,1766.68,1769.42,1768.16,1768.63,1766.09,1765.57,1768.47,1765.6,1764.74,1765.87,1765.69,1764.73,1768.5,1764.84,1767.36,1767.36,1764.11,1765.04,1765.59,1768.76,1764.85,1765.07,1768.35,1766.9,1765.45,1768.81,1767.99,1771.54,1771.57,1767.73,1768.66,1767.92,1769.91,1770,1770.32,1768.7,1771.38,1771.37,1770.2,1771.47,1772.99,1770.69,1775.77,1775.47,1774.3,1778.16,1777.16,1777.37,1776.84,1778.72,1776.44,1778.57,1777.9,1777.29,1780.5,1778.08,1782.09,1781.34,1781.56,1783.33,1783.68,1786.71,1784.45,1787.34,1787.4,1786.25,1786.75,1790.62,1791.11,1788.58,1791.44,1789.95,1796.24,1794,1794.32,1794.24,1795.23,1798.77,1799.54,1798.69,1802.33,1801.73,1802.44,1803.42,1804.5,1802.72,1804.64,1805.83,1804.97,1807.23,1809.07,1810.86,1808.65,1810.4,1812.3,1814.03,1813.56,1814.23,1816.61,1818.47,1816.27,1817.6,1819.04,1817.33,1821.49,1820.13,1820.21,1822.45,1823.45,1824.42,1822.67,1824.46
03.06.2026 14:30:36,1874.87,1875.82,1874.15,1875.95,1874.42,1873.42,1872.1,1874.18,1873.31,1873.56,1875.95,1873.43,1873.22,1872.5,1869.45,1872.64,1871.55,1872.44,1868.64,1870.76,1868.09,1870.86,1870.07,1865.41,1869.54,1864.97,1867.47,1865.71,1867.88,1865.66,1867.15,1861.27,1863.11,1862.11,1862.18,1860,1856.67,1857.75,1857.69,1855.74,1854.13,1852.12,1850.43,1849.77,1850.38,1846.72,1847.19,1845.92,1841.53,1836.74,1836.74,1832.83,1835.1,1831.48,1827.38,1826.33,1822.41,1818.05,1814.49,1814.84,1813.77,1808.46,1804.22,1800.87,1800.42,1797.01,1795.25,1790.86,1788.54,1788.04,1787.12,1784.29,1782.03,1781.62,1779.23,1779.06,1774.94,1776.26,1775.3,1772.08,1773.39,1773.45,1773.67,1773.32,1771.46,1769.13,1769.18,1771.13,1766.41,1767.94,1768.64,1767.31,1768.18,1766.31,1767.72,1767.16,1766.62,1766.79,1766.2,1765.07,1766.12,1765.49,1766.93,1768.33,1763.54,1765.74,1767.94,1768.17,1765.58,1766.02,1765.15,1768.06,1767.09,1767.16,1768.5,1769.86,1766.84,1767.97,1767.98,1771.23,1768.68,1768.16,1770.47,1771.24,1768.81,1771.44,1773.19,1773.29,1771.6,1773.51,1772.42,1774.65,1775.66,1773.4,1776.77,1774.82,1775.72,1776.85,1776.29,1778.13,1778.72,1778.76,1778.9,1780.22,1779.8,1782.69,1781.18,1782.38,1781.95,1782.71,1784.96,1782.4,1784.19,1784.61,1789.94,1789.71,1787.77,1789.76,1791.31,1788.96,1793.7,1793.89,1793.04,1795.84,1792.18,1795.09,1797.71,1800.11,1797.98,1799.2,1802.8,1803.82,1803.51,1802.48,1805.84,1807.21,1806.9,1809.53,1808.78,1810.18,1809.99,1810.72,1811.25,1812.14,1814.38,1812.86,1813.39,1815.24,1818.17,1815.97,1815.74,1817.52,1817.35,1817.21,1822.25,1818.45,1817.52,1820.31,1822.21,1823.58,1823.16
03.06.2026 14:30:37,1875.09,1875.4,1876.75,1873.23,1875.44,1876.08,1873.93,1875.77,1873.45,1874.01,1872.74,1871.63,1871.65,1873.25,1870.01,1871.02,1871.56,1871.46,1869.85,1868.7,1869.99,1867.06,1868.22,1870.23,1867.28,1867.5,1864.98,1862.49,1866.95,1861.77,1863.36,1862.3,1862.14,1860.68,1858.16,1863.63,1858.99,1856.37,1856.46,1854.07,1852.62,1853.39,1848.78,1850.53,1850.18,1849.16,1843.7,1845.04,1841.21,1839.77,1835.73,1835.14,1832.93,1828,1826.36,1823.85,1821.26,1817.39,1817.55,1810.45,1810.55,1809.51,1802.92,1803.24,1801.19,1800.13,1793.56,1792.99,1791.17,1788.41,1785.23,1783.59,1784.41,1779.9,1778.74,1778.82,1775.75,1776.05,1774.65,1772.35,1773.71,1771.65,1771.34,1770.75,1771.44,1768.26,1770.62,1767.99,1768.78,1768.93,1769.21,1767.38,1766.48,1766.65,1766.95,1766.38,1766.6,1765.63,1764.3,1766.26,1763.62,1766.89,1766.13,1766.24,1766.09,1765.82,1765.69,1766.94,1768.01,1767.84,1766.62,1766.8,1765.75,1767.44,1766.75,1766.01,1767.18,1764.61,1769.01,1767.71,1771.3,1768.74,1770.23,1769.36,1770.4,1771.92,1771.55,1773.11,1771.77,1773.37,1776.12,1774.58,1773.53,1776,1775.97,1772.54,1777.58,1776.87,1775.73,1776.49,1777.18,1779.16,1777.29,1780.35,1781.1,1781.19,1783.17,1783.3,1785.13,1782.79,1785.99,1783.16,1783.86,1786.36,1785.52,1786.67,1787.28,1789.53,1788.47,1791.8,1791.9,1792.27,1794.32,1793.42,1796.73,1799.51,1796.14,1797.41,1799.61,1799.03,1802.15,1801.15,1804.17,1803.78,1804.82,1806.63,1806.1,1806.98,1806.62,1808.83,1809.18,1809.94,1810.68,1811.05,1814.85,1813.77,1816.79,1815.8,1818.28,1817.02,1815.81,1815.91,1816.89,1820.49,1820.47,1817.32,1819.25,1821.77,1821.37,1820.44,1820.61
03.06.2026 14:30:39,1872.85,1874.94,1873.85,1877.44,1874.62,1876.07,1874.55,1873.27,1874.11,1871.5,1871.22,1872.32,1869.04,1871.94,1869.84,1869.98,1869.14,1869.87,1869.18,1869.13,1865.26,1868.03,1868.23,1867.49,1866.34,1866.36,1862.68,1865.05,1864.99,1866.62,1859.63,1863.38,1861.52,1857.97,1863.48,1857.3,1860.32,1859.49,1856.27,1853.9,1853.97,1851.51,1853.78,1852.28,1849.46,1846.16,1844.26,1846,1842.33,1840.36,1836.65,1834.1,1833,1829.48,1828.34,1825.07,1822.36,1819.85,1817.72,1814.11,1811.35,1807.9,1802.69,1802.51,1800.27,1798.7,1792.1,1794.15,1790.87,1787.53,1785.94,1784.13,1781.55,1781.48,1778.95,1776.62,1776.9,1776.06,1775.13,1775.58,1772.17,1771.14,1771.82,1771.72,1769.14,1768.89,1768.8,1769.88,1769.24,1765.79,1767.27,1768.72,1768.32,1766.74,1767.69,1765.44,1765,1765.69,1766.56,1764.14,1765.19,1765.9,1764.72,1764.7,1765.67,1765.24,1765.26,1765.68,1770.38,1768.01,1766.88,1765.57,1766.28,1769.28,1768.44,1766.64,1768.9,1768.95,1765.13,1770.49,1767.26,1769.84,1771.7,1770.43,1771,1770.67,1771.77,1769.48,1773.33,1773.18,1776.2,1774.79,1774.92,1775.38,1772.95,1776.88,1777.33,1777.34,1778.7,1780.16,1778.23,1778.2,1779.4,1779.69,1780.08,1778.43,1780.36,1782.61,1781.56,1781.75,1785.22,1783.5,1783.34,1785.31,1785.76,1787.76,1788.2,1788.8,1789.24,1791.65,1791.69,1793.54,1794.14,1793.62,1794.84,1795.19,1796.25,1800.14,1799.29,1800.35,1800.12,1802.09,1800.64,1801.39,1805.2,1807.14,1803.95,1804.94,1806.21,1807.15,1807.28,1810.48,1814.03,1812.3,1811.88,1814.54,1814.15,1812.23,1813.54,1815.58,1815.49,1818.31,1819.83,1815.1,1821.03,1821.01,1819.94,1819.3,1821.78,1820.81,1823.39
03.06.2026 14:30:40,1877.4,1872.76,1871.93,1874.07,1872.93,1874.86,1875.11,1873.2,1872.24,1873.82,1871.04,1868.91,1871.51,1868.82,1868.56,1869.12,1869.56,1868.84,1869.71,1866.25,1869.11,1868.7,1869.95,1869.2,1866.49,1869.73,1865.74,1866.85,1864.89,1862.47,1864.37,1864.24,1863.03,1861.47,1860.76,1862.13,1858.69,1857.1,1855.43,1854.44,1854.91,1850.99,1851.75,1848.17,1849.49,1844.88,1846.99,1843.44,1839.75,1839.68,1834.51,1834.83,1833.26,1828.95,1826.82,1824.34,1823.65,1820.48,1818.07,1815.16,1808.96,1807.95,1806.02,1800.97,1797.84,1794.31,1794.82,1791.19,1786.61,1790.42,1787.15,1782.97,1785.07,1782.02,1778.09,1778.73,1774.76,1777.81,1772.95,1773.91,1774.16,1772.81,1773.33,1770,1772.32,1771.26,1769.96,1770.84,1767.54,1768.08,1766.18,1769.18,1767.31,1764.15,1769.06,1767.03,1764.56,1766.24,1768.59,1765.96,1766.48,1766.66,1764.8,1767.19,1765.71,1765.11,1761.87,1764.68,1766.05,1767.85,1767.5,1768.1,1766.4,1768.1,1765.48,1768.27,1771.28,1767.12,1768.42,1769.78,1767.19,1770.14,1770.5,1769.69,1769.88,1771.19,1772.06,1769.13,1772.66,1771.6,1773.81,1773.71,1773.5,1773.45,1773.4,1775.76,1776.22,1776.07,1777.48,1778.95,1779,1778.61,1778.35,1780.93,1778.97,1779.94,1781.1,1780.28,1781.03,1781.5,1784.47,1783.23,1785.02,1786.87,1786.09,1787.51,1787.28,1789.27,1790.07,1790.47,1788.63,1792.69,1793.47,1794.96,1795.87,1796.55,1797.94,1796.15,1800.89,1800.02,1802.24,1802.53,1799.64,1804.5,1805.79,1806.09,1805.4,1805.76,1808.12,1808.94,1808.83,1812,1809.98,1813.82,1815.13,1812.7,1811.17,1814.13,1815.22,1816.76,1816.47,1818.09,1818.69,1815.09,1819.26,1820.57,1820.27,1819.43,1820.56,1818.05,1822.13
03.06.2026 14:30:41,1873.06,1872.33,1875.08,1872.02,1872.54,1874.88,1874.75,1872.86,1872.16,1871.58,1871.63,1870.4,1870.23,1871.04,1871.88,1868.81,1869.27,1867.78,1869.81,1869.55,1868.06,1869.82,1866.44,1867.34,1868.95,1869.56,1865.21,1863.26,1865.62,1862.49,1860.92,1861.51,1863.67,1860.62,1857.11,1858.81,1858.64,1858.11,1854.21,1853.76,1853.06,1850.53,1850.34,1849.32,1848.55,1845.1,1845.08,1842.78,1838.8,1838.91,1836.01,1832.3,1831.23,1828.43,1825.9,1824.68,1822.35,1818.86,1814.9,1813.53,1810.46,1806.57,1803.09,1801.43,1797.47,1797.27,1794.6,1790.72,1787.98,1787.39,1785.42,1782.6,1783.14,1781.13,1779.39,1778.59,1775.57,1775.52,1773.63,1773.29,1772.71,1771.75,1774.28,1769.14,1769.72,1769.75,1768.91,1769.43,1766.61,1768.12,1766.22,1769.44,1767.79,1768.28,1767.12,1764.48,1765.69,1766.53,1765.33,1766.01,1761.87,1764.89,1765.67,1763.47,1765.93,1762.81,1765.44,1765.76,1765.63,1766.11,1765.61,1765.12,1767.54,1766.63,1768.88,1768.14,1767.51,1771.92,1770.24,1767.74,1770.4,1769.56,1770.08,1770,1768.43,1771.65,1770.08,1769.18,1772.01,1772.53,1771.92,1773.92,1773.51,1771.53,1773.3,1771.14,1775.11,1775.84,1773.98,1777.14,1776.15,1777.56,1778.89,1779.06,1779.13,1779.12,1779.88,1784.01,1782.29,1784.14,1781.46,1783.18,1783.97,1784.04,1783.19,1787.31,1785.89,1786.68,1789.09,1792.8,1791.17,1793.74,1796.06,1794.58,1793.94,1796.76,1796.55,1797.68,1800.17,1798.91,1801.8,1799.89,1804.02,1803.15,1806.08,1805.51,1806.56,1806.61,1808.06,1807.46,1807.69,1806.36,1809.58,1812.94,1814.43,1812.97,1814.09,1812.95,1815.63,1817.78,1815.29,1818.54,1817.81,1817.1,1816.78,1816.85,1818.36,1822.51,1822.3,1819.22,1820.88
