TimeStamp/Wavelength,1750,1752,1754,1756,1758,1760,1762,1764,1766,1768,1770,1772,1774,1776,1778,1780,1782,1784,1786,1788,1790,1792,1794,1796,1798,1800,1802,1804,1806,1808,1810,1812,1814,1816,1818,1820,1822,1824,1826,1828,1830,1832,1834,1836,1838,1840,1842,1844,1846,1848,1850,1852,1854,1856,1858,1860,1862,1864,1866,1868,1870,1872,1874,1876,1878,1880,1882,1884,1886,1888,1890,1892,1894,1896,1898,1900,1902,1904,1906,1908,1910,1912,1914,1916,1918,1920,1922,1924,1926,1928,1930,1932,1934,1936,1938,1940,1942,1944,1946,1948,1950,1952,1954,1956,1958,1960,1962,1964,1966,1968,1970,1972,1974,1976,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050,2052,2054,2056,2058,2060,2062,2064,2066,2068,2070,2072,2074,2076,2078,2080,2082,2084,2086,2088,2090,2092,2094,2096,2098,2100,2102,2104,2106,2108,2110,2112,2114,2116,2118,2120,2122,2124,2126,2128,2130,2132,2134,2136,2138,2140,2142,2144,2146,2148,2150
02.06.2026 10:42:22,1837.57,1836.79,1836.49,1835.79,1839.9,1836.02,1833.24,1837.78,1833.62,1833.9,1831.11,1828.22,1832.04,1829.46,1831.65,1829.36,1831.82,1831.24,1830.16,1827.57,1827.85,1828.65,1827.13,1826.29,1824.63,1826.8,1828.29,1827.93,1821.36,1825.54,1822.68,1821.1,1818.77,1817,1816.92,1818.5,1815.55,1815.31,1812.06,1812.12,1811.55,1810.03,1808.56,1805.23,1802,1801.71,1802.22,1798.07,1793.93,1792.59,1789.2,1787.48,1784.14,1781.88,1775.23,1770.42,1768.88,1764.07,1759.93,1754.81,1750.68,1748.77,1744.15,1741.01,1736.19,1731.72,1728.33,1725.24,1723.28,1722.35,1720.97,1715.63,1712.59,1711.65,1709.43,1705.67,1702.89,1702.26,1703.39,1701.1,1700.06,1692.55,1698.33,1695.15,1693.53,1692.81,1693.55,1692.57,1691.96,1692.54,1694.38,1691.31,1690.91,1687.83,1690.43,1690.35,1686.7,1691.85,1686.42,1687.54,1683.75,1688.09,1686.72,1687.37,1686.86,1687.12,1686.42,1693.13,1686.75,1687.07,1687.72,1687.09,1689.42,1687.26,1690.28,1688.97,1690.44,1686.17,1690.03,1691.24,1690.04,1691.44,1693.94,1692.61,1687.96,1695.57,1691.72,1692.58,1690.04,1692.58,1694.98,1697.72,1696.97,1697.64,1693.69,1697.59,1697.21,1699.78,1698.52,1697.62,1700.17,1700.86,1700.07,1701.41,1698.72,1701.94,1703.27,1703.8,1707.39,1703.98,1704.91,1707.33,1708.1,1711.04,1711.58,1709.59,1714.44,1712.25,1714.73,1714.38,1715.49,1718.07,1715.78,1716.51,1721.57,1720.86,1722.59,1721.19,1722.37,1723.25,1727.6,1723.2,1727.96,1724.29,1732.88,1732.35,1731.1,1734.15,1736.51,1732.97,1734.92,1736.45,1738.42,1737.85,1740.94,1743.93,1742.42,1740,1744.51,1747.15,1745.43,1746.86,1748.85,1748.48,1750.08,1753.28,1751.36,1751.23,1751.89,1751.96,1753.35
02.06.2026 10:42:23,1836.12,1837.59,1836.83,1838.28,1836.99,1837.24,1835.71,1835.54,1833.98,1833.24,1831.46,1835.64,1830.95,1831.43,1830.58,1829.66,1828.35,1829.05,1828.46,1828.05,1830.28,1826.34,1824.18,1824.53,1824.19,1822.87,1824.28,1826.31,1822.19,1819.92,1823.16,1821.61,1823.09,1821.81,1818.4,1819.15,1817.42,1814.34,1812.7,1811.33,1811.4,1811.09,1808.28,1803.38,1805.81,1801.82,1801.02,1799.81,1795.99,1791.2,1787.69,1784.41,1782.26,1779.31,1778.02,1772.32,1767.78,1759.16,1760.53,1755.83,1755.21,1745.79,1743.98,1742.3,1735.28,1731.77,1727.65,1724.83,1725.03,1721.28,1718.77,1716.33,1713.55,1711.37,1708.91,1705.78,1705.66,1705.63,1703.02,1699.27,1699.24,1698.36,1696.93,1696.96,1695.18,1691.82,1695.06,1691.5,1692.56,1694.66,1689.13,1691.33,1692.28,1689.94,1689.55,1689.86,1690.13,1686.74,1688.84,1690.73,1688.41,1687.48,1687.69,1689,1687.02,1688.55,1686.82,1687.83,1686,1690.01,1687.99,1689.98,1689.54,1689.64,1688.25,1688.61,1691.82,1692.81,1691.93,1689.92,1689.56,1688.1,1692.43,1687.25,1692.29,1693.49,1693.5,1692.74,1694.75,1695.42,1694.32,1695.91,1694.53,1695.64,1699.09,1699.31,1696.1,1698.91,1697.91,1699.08,1699.17,1699.64,1701.74,1700.45,1701.76,1703.99,1702.42,1705.25,1704.88,1708.59,1709.12,1709.62,1711.66,1709.68,1709.91,1712.69,1710.8,1714.86,1710.9,1714.01,1712.44,1715.22,1717.55,1719.78,1717.59,1718.36,1723.07,1723.59,1725.98,1728.46,1728.75,1725.7,1728.26,1727.38,1729.58,1728.38,1730.61,1730.41,1735.6,1736.35,1736.64,1735.09,1741.95,1744,1742.88,1742.21,1745.45,1746.13,1745.81,1745.37,1746.65,1746.2,1746.75,1750.94,1747.89,1750.57,1749.75,1749.74,1752.24,1752.33,1756.13
02.06.2026 10:42:24,1837.8,1838.02,1833.26,1835.47,1833.9,1833.01,1834.34,1832.55,1834.37,1833.71,1831.25,1832.83,1831.42,1832.02,1832.88,1830.08,1826.77,1828.5,1829.69,1824.66,1826.06,1827.1,1827.12,1824.62,1825.78,1826.09,1826.23,1823.97,1822.62,1821.65,1823.86,1820.01,1817.67,1817.74,1820.5,1821.25,1814.42,1816.92,1814.89,1810.9,1809.93,1811.83,1807.09,1802.08,1801.86,1801.21,1798.88,1792.83,1793.67,1791.32,1792.03,1790.65,1782.66,1778.37,1774.71,1770.26,1768.6,1763.46,1758.38,1752.6,1753.57,1747.65,1743.87,1738.91,1735.71,1733.96,1730.4,1727.96,1722.32,1718.05,1717.36,1716.28,1711.17,1709.36,1706.92,1704.74,1707.53,1701.46,1699.5,1700.95,1698.96,1698.51,1697.1,1694.53,1691.18,1693.73,1692.64,1694.54,1691.22,1688.88,1689.22,1690.66,1687.11,1690.39,1687.97,1688.13,1688.92,1691.03,1687.8,1687.22,1685.72,1687.38,1688.92,1688.42,1686.75,1690.15,1690.48,1687.38,1683.39,1686.34,1687.14,1688.55,1688.8,1692.47,1688.05,1690.17,1689.64,1685.8,1690.46,1688.29,1689.84,1691.94,1689.45,1688.35,1690.24,1691.3,1691.9,1691.95,1691.49,1695.99,1698.58,1696.37,1695.05,1696.06,1694.77,1697.41,1697.6,1698.78,1697.18,1697.1,1700.08,1701.65,1698.81,1698.43,1704.44,1699.8,1704.65,1706.29,1706.41,1708.69,1703,1707.92,1708.01,1705.96,1708.19,1710.74,1711.42,1710.83,1714.97,1715.15,1715.87,1714.41,1718.5,1718.05,1717.69,1717.79,1723.39,1720.77,1725.01,1722.92,1727.5,1729.52,1726.99,1727.85,1731.28,1732.7,1731.57,1732.2,1732.46,1735.78,1737.41,1737.87,1736.66,1738.63,1741.77,1741.69,1745.88,1745.12,1741.46,1744.57,1747.92,1746.72,1748.49,1750.82,1748.05,1752.49,1753.42,1750.81,1752.64,1756.83,1752.05
02.06.2026 10:42:25,1838.93,1838.01,1832.06,1838.49,1836.57,1835.91,1835.91,1835.67,1832.81,1831.89,1830.88,1833,1830.01,1829.12,1832.81,1828.35,1826.95,1828.28,1828.17,1826.16,1829.06,1829.07,1826.23,1827.52,1824.86,1821.63,1823.65,1823.19,1825.61,1823.24,1822.29,1821.22,1820.86,1819.24,1817.47,1819.91,1815.7,1813.34,1814.36,1815.1,1811.86,1812.11,1805.22,1805.24,1804.22,1801.56,1798,1799.96,1792.33,1791.44,1791.39,1785.52,1784.65,1775.88,1775.2,1774.85,1768.78,1763.56,1760.91,1755.08,1753.01,1747.46,1742.91,1740.12,1735.23,1730.86,1727.3,1724.8,1723.02,1720.49,1718.17,1716.16,1711.35,1711.56,1707.36,1703.8,1703.98,1702.63,1701.6,1699.49,1699.45,1697.87,1695.83,1696.17,1696.31,1695.18,1694.74,1693.01,1692.38,1692.3,1688.75,1690.58,1690.75,1686.8,1690.69,1686.76,1688.77,1687.21,1690.7,1685.92,1690.31,1683.81,1684.34,1685.72,1685.61,1690.88,1688.08,1687.5,1688.25,1689.4,1690.73,1689.6,1689.49,1687.5,1689.39,1690.43,1690.74,1691.52,1688.06,1692.07,1692.03,1692.54,1691.8,1689.23,1690.58,1690.4,1692.81,1691.2,1693.66,1692.11,1692.9,1693.73,1693.55,1692.74,1698.83,1695.82,1699.21,1698.07,1698.39,1699.87,1696.75,1698.24,1699.54,1700.55,1702.68,1702.39,1703.45,1703.47,1707.81,1709.11,1703.6,1708.34,1706.9,1709.63,1710.97,1716.31,1709.72,1711.32,1713.71,1713.76,1713.88,1714.96,1720.23,1715.6,1719.56,1720.26,1723.76,1722.22,1726.1,1724.17,1727.86,1729.91,1727.47,1728.11,1730.83,1731.6,1730.18,1735.86,1735.71,1735.17,1736.5,1739.68,1736.84,1739.05,1740.99,1739.22,1745.64,1741.55,1743.29,1742.99,1748.58,1747.73,1746.2,1746.43,1750.7,1750.41,1753.94,1749.93,1753.09,1755.23,1752.39
02.06.2026 10:42:26,1837.23,1835.07,1835.44,1837.51,1836.18,1837.84,1833.03,1836.98,1832.72,1832.76,1829.2,1832.07,1828.28,1831.77,1829.23,1833.71,1829.95,1828.13,1829.59,1828.85,1825.19,1828.03,1827.38,1826.35,1825.17,1825.73,1824.38,1827.41,1825.1,1822.71,1822.35,1824.44,1817.7,1819.93,1820.55,1818.01,1818.9,1817.6,1815.31,1812.13,1810.5,1809.79,1809.06,1807.86,1802.77,1800.75,1798.82,1797.33,1795.92,1792.07,1786.32,1783.92,1783.23,1775.98,1774.46,1769.73,1767.77,1761.02,1761.85,1753.77,1752.57,1747.37,1742.66,1743.71,1733.1,1732.51,1731.85,1724.75,1720.88,1719.36,1717.29,1717.56,1712.74,1708.64,1706.36,1706.48,1703.86,1702.65,1703.15,1699.77,1696.27,1698.97,1697.95,1700.04,1693.54,1692.88,1693.61,1692.92,1690.87,1691.77,1689.99,1686.63,1688.34,1690.4,1686.79,1688.83,1685.7,1688.56,1688.57,1685.76,1687.78,1687.61,1688.46,1685.82,1688.05,1687.95,1688.44,1688.1,1686.36,1686.93,1687.71,1689.46,1687.73,1687.68,1688.7,1690.95,1687.47,1687.57,1692.71,1690.2,1690.14,1693.14,1691.47,1689,1693.91,1689.56,1690.55,1692.83,1692.39,1693.14,1692.56,1694.23,1692.7,1696.54,1694.54,1696.36,1698.43,1697.11,1697.13,1701.1,1695.76,1701.07,1702.41,1701.2,1700.77,1700.27,1704.3,1702.34,1703.14,1707.82,1710.1,1707.8,1712.58,1706.41,1710.43,1708.73,1710.99,1711.39,1713.3,1713.39,1716.64,1716.59,1719.43,1714.26,1718.03,1719.6,1720.56,1724.99,1722.59,1724.66,1724.04,1725.52,1727.54,1733.5,1727.16,1731.35,1731.57,1733.17,1732.25,1735.83,1738.31,1734.51,1738.6,1739.16,1739.09,1744.3,1740.11,1743.92,1742.42,1748.01,1746.43,1742.58,1747.06,1750.25,1750.88,1750.95,1749.86,1747.85,1752.87,1753.13,1754.76
02.06.2026 10:42:27,1836.32,1835.87,1837.94,1834.03,1836.5,1837.36,1834.18,1836.53,1834.54,1833.99,1831.92,1831.71,1833.75,1830.39,1827.33,1829.39,1830.76,1830.18,1830.43,1827.45,1826.87,1828.31,1828.38,1825.35,1825.44,1824.17,1827.48,1824.99,1820.71,1827.52,1821.91,1820.28,1819.77,1821.24,1817.01,1817.31,1817.5,1816.23,1813.21,1811.35,1813.22,1810.13,1808.91,1807.76,1802.85,1801.65,1799.24,1795.91,1794.64,1788.62,1790.48,1784.84,1781.25,1776.71,1772.58,1769.35,1766,1767.12,1757.27,1755.45,1754.55,1746,1746.58,1738.92,1737.38,1729.47,1727.53,1723.43,1723.51,1720.79,1720.84,1715.21,1710.77,1710.28,1705.41,1705.18,1706.09,1705.29,1697.69,1699.8,1697.58,1700.15,1697.85,1691.14,1694.96,1693.35,1692.05,1689.4,1692.61,1689.82,1689.11,1689.01,1688.61,1689.17,1688.06,1689.36,1687.07,1688.11,1687.6,1688.46,1689.58,1686.32,1684.87,1685.66,1687.32,1689.32,1686.4,1686.96,1690.21,1689.06,1688.9,1686.04,1686.29,1690.29,1688.87,1692.66,1687.23,1688.5,1691,1690.64,1691.98,1689.99,1690.7,1690.44,1692.81,1692.12,1691.3,1691.84,1695.38,1694.68,1696.46,1697.43,1697.28,1698.05,1698.53,1698.08,1697.76,1694.48,1696.64,1697.95,1698.34,1697.74,1701.08,1698.05,1701.38,1702.97,1703.74,1703.38,1703.39,1704.1,1707.23,1705.39,1707.51,1707.92,1709.79,1711.05,1712.17,1713.3,1713.35,1712.58,1709.26,1716.04,1715.82,1719.5,1717.37,1721.44,1720.41,1724.54,1726.61,1725.18,1726.96,1726.13,1729.47,1729.73,1730.33,1735.72,1732.2,1735.02,1736.85,1735.05,1733.52,1738.73,1739.42,1739.88,1741.7,1741.55,1739.4,1743.36,1747.88,1746.86,1744.65,1748.43,1749.17,1748.81,1746.5,1752.14,1749.67,1753.91,1750.55,1755.63,1754.67
02.06.2026 10:42:28,1839,1836.91,1834.9,1833.13,1832.63,1835.88,1837.36,1835.38,1831.98,1833,1830.71,1827.28,1831.19,1827.22,1831.31,1827.69,1829.33,1829.82,1826,1827.43,1827.59,1826.85,1825.41,1827.66,1826.53,1824.04,1824.83,1827.15,1825.76,1822.91,1822.77,1820.99,1818.64,1821.65,1820.73,1817.97,1816.7,1812,1815.12,1809.98,1807.42,1810.28,1806.59,1803.41,1804.48,1802.7,1800.3,1798.22,1793.98,1791.77,1788.2,1785.58,1782.31,1774.96,1774.43,1772.88,1769.15,1763.89,1760.6,1755.66,1752.59,1746.02,1741.96,1738.77,1738.3,1729.89,1730.52,1727.12,1721.87,1718.75,1716.35,1711.25,1712.66,1707.22,1710.59,1707.58,1705.64,1702.92,1699.1,1701.14,1702.15,1697.41,1696.37,1697.33,1697.25,1691.91,1692.08,1692.36,1691.47,1691.45,1692.5,1685.86,1691.33,1686.53,1688.73,1687.88,1687.69,1688.55,1686.36,1687.25,1688.55,1688.31,1685.81,1685.35,1686.29,1684.57,1685.93,1684.44,1688.44,1687.18,1687.58,1684.44,1691.25,1686.67,1689.69,1690.2,1688.47,1689.32,1687.02,1691.37,1693.02,1688.94,1690.09,1691.55,1690.77,1693.11,1690.33,1693.33,1692.39,1694.66,1693.86,1695.79,1694.23,1695.35,1698.88,1697.22,1698.41,1701.58,1700.29,1695.17,1699.34,1700.05,1701.18,1699.36,1701.78,1705,1701.57,1703.49,1703.77,1705.07,1703.96,1706.68,1707.99,1708.59,1710.21,1710.58,1711.46,1711.55,1713.33,1715.19,1716.77,1719.03,1715.38,1719.32,1723.01,1721.52,1721.27,1724.51,1727.77,1726.37,1724.01,1729.76,1725.44,1724.4,1728.72,1733.39,1731.65,1735.05,1734.66,1734.2,1736.45,1737.03,1738.09,1737.38,1745.41,1742.28,1744.58,1742.93,1745.57,1745.28,1743.51,1747.82,1747.44,1750.52,1747.91,1748.22,1752.42,1749.89,1750.53,1755.52,1754.35
02.06.2026 10:42:30,1839.41,1836.84,1838.1,1837.24,1833.08,1835.78,1836.9,1836.74,1834.79,1834,1832.39,1831.55,1830.09,1829.41,1829.86,1831.36,1830.23,1833.43,1832.91,1828.13,1829.8,1826.38,1827.55,1827.14,1826.38,1826.35,1824.31,1824.29,1822.21,1821.73,1824.33,1821.44,1821.44,1819.92,1818.12,1817.45,1817.8,1815.28,1812.54,1813.41,1808.89,1808.93,1806.85,1807.58,1806.24,1802.04,1799.06,1796.91,1798.48,1793.74,1787.22,1785.26,1783.82,1778.05,1775.22,1772.24,1769.3,1763.47,1757.23,1757.23,1749.06,1745.83,1742.33,1737.85,1738.03,1733.54,1729.53,1727.54,1722.5,1717.86,1720.44,1715.63,1714.83,1711.27,1709.1,1708.2,1703.03,1701.94,1703.99,1697.16,1700.66,1696.56,1694.5,1697.19,1691.73,1695.16,1691.47,1692.58,1691.67,1694.38,1693.35,1687.37,1691.41,1688.12,1691.88,1688.39,1692.08,1686.45,1687.29,1686.57,1688.86,1689.61,1685.26,1689.82,1689.42,1686.99,1687.15,1690.51,1688.35,1689.07,1689.88,1686.51,1689,1690.17,1690.21,1691.05,1688.54,1691.54,1688.83,1691.32,1690.91,1690.41,1691.56,1693.45,1690.73,1695.37,1694.3,1694.62,1693,1692.7,1696.25,1695.03,1694.53,1695.75,1697.86,1696.87,1697.99,1698.23,1696.11,1698.58,1697.42,1697.78,1701.55,1700.27,1702.48,1702.63,1704.29,1701.43,1705.22,1702.73,1706.32,1712.02,1706.78,1708.08,1710.21,1712.92,1711.49,1709.75,1714.01,1712.27,1712.39,1714.03,1714.15,1718.51,1719.16,1724.42,1721.2,1725.59,1724.09,1724.22,1723.62,1724.06,1728.52,1728.44,1730.03,1731.22,1733.06,1732.35,1735.73,1735.53,1734.38,1740.51,1739.26,1738.81,1740.41,1742.27,1743.25,1742.59,1743.47,1745.97,1746.66,1747.57,1747.66,1751.5,1747.22,1751.66,1753.87,1751.65,1753.39,1751.2,1754.5
02.06.2026 10:42:31,1836.02,1837.71,1837.38,1836.58,1838.37,1834.74,1833.16,1837.94,1832.02,1837.01,1834.37,1836.21,1832.64,1830.51,1831.22,1829.75,1829.7,1830.9,1830.51,1829.29,1829.33,1828.59,1828.38,1826.21,1826.13,1827.41,1823.88,1827.98,1822.7,1824.02,1822.21,1821.2,1822.85,1821.95,1817.73,1818.06,1812.83,1817.61,1813.09,1812.39,1810.95,1809.87,1807.41,1805.71,1805.14,1803.32,1800.48,1797.18,1797.31,1793.27,1787.16,1786.89,1782.78,1782.42,1775.03,1772.97,1769.62,1767.52,1760.97,1756.53,1753.31,1751.36,1745.57,1738.87,1742.49,1731.88,1727.5,1727.02,1724.48,1719.79,1719.62,1715.87,1710.95,1710.75,1708.91,1705.65,1704.34,1704.06,1701.7,1700.32,1699.18,1698.01,1699.05,1695.53,1694.07,1695.11,1693.29,1690.86,1691.26,1694.39,1694.57,1686.91,1689.92,1689.79,1691.17,1688.8,1688.8,1690.38,1687,1689.12,1689.96,1685.49,1688.19,1689.18,1690.73,1684.95,1685.51,1689.33,1689.82,1687.18,1690.99,1687.76,1690.94,1689.85,1688.02,1688.31,1689.25,1689.96,1689.37,1689.94,1687.87,1691.63,1694.97,1691.81,1693.93,1693.47,1693.51,1692.45,1694.74,1693.78,1696.79,1692.82,1694.3,1697.43,1696.93,1697.5,1699.6,1698.89,1698.08,1703.54,1701.02,1700.17,1701.2,1699.11,1701.16,1705.66,1708.73,1704.58,1702.41,1703.42,1705.19,1705.38,1706.59,1708.91,1708.81,1709.67,1714.05,1712.57,1710.48,1715.96,1718.16,1718.3,1717.72,1717.01,1716.58,1719.96,1724.49,1722.64,1720.96,1725.4,1726.07,1726.45,1728.2,1727.08,1731.36,1729.38,1734.65,1734.32,1734.61,1738.72,1735.1,1740.84,1739.69,1738.78,1743.55,1742.38,1741.87,1743.78,1746.98,1747.75,1747.42,1745.63,1748.04,1749.74,1748.9,1750.73,1753.21,1753.39,1752.45,1754.35,1754.57
02.06.2026 10:42:32,1836.37,1837.83,1837.1,1836.97,1834.27,1838.01,1835.18,1832.68,1833.44,1833.61,1832.81,1835.06,1832.64,1833.22,1834.96,1829.35,1829.98,1826.21,1827.91,1829.59,1830.46,1829.86,1830.13,1823.45,1831.24,1827.01,1824.58,1825.32,1821.36,1822.29,1819.79,1820.44,1819.09,1816.92,1817.01,1816.67,1813.74,1814.68,1813.61,1812.82,1808.72,1808.63,1807.49,1804.01,1804.92,1803.01,1800.23,1796.52,1796.62,1793.74,1788.52,1786.07,1783.33,1782.53,1777.96,1773,1768.76,1766.07,1759.18,1757.82,1756.16,1747.46,1742.84,1739.26,1736.93,1734.56,1730.12,1725.49,1725.38,1719.11,1715.37,1716.32,1713.24,1709.38,1709.12,1707.51,1706.06,1702.83,1702.9,1696.39,1700.67,1700,1695.65,1696.58,1694.48,1693.43,1694.67,1694.91,1691.84,1691.24,1693.22,1689.99,1691.48,1692.61,1687.6,1686.84,1688.59,1690.89,1691.57,1685.42,1689.98,1684.81,1689.62,1687.97,1687.15,1687.42,1685.38,1686.36,1683.7,1685.79,1690.56,1689.83,1683.58,1689.7,1688.2,1689.97,1689.05,1687.9,1689.21,1693.53,1690.69,1690.09,1693.43,1689.92,1692.87,1697.16,1690.51,1693.5,1694.34,1694.02,1694.6,1694.92,1694.9,1698.04,1696.54,1697.29,1695.65,1697.47,1698.58,1701.25,1700.84,1702.68,1699.76,1702.15,1702.72,1703.33,1701.67,1702.17,1703.84,1704.13,1708.79,1707.78,1708.85,1707.93,1710.03,1713.47,1715.65,1709.1,1712.86,1715.2,1715.73,1717.91,1716.72,1719.77,1719,1722.36,1722.32,1721.89,1724.33,1726.52,1727.53,1725.21,1728.61,1732.54,1727.46,1732.83,1731.29,1734.94,1735.48,1736.33,1736.28,1739.4,1734.87,1737.81,1742.8,1742.4,1743.41,1739.54,1745.13,1746.19,1746.86,1747.71,1751.45,1748.87,1748.66,1752.86,1753.28,1752.84,1754.16,1753.97,1754.49
